ALL   2018-09-24 15:59:05,993 [Log4J Active Asynchronous Appender] : root - First line of each file following a roll
INFO  2018-09-24 15:59:22,812 [main] : WinpayProceed - TOKEN : 8bd97daaec94892fbb71e5d045c29769
INFO  2018-09-24 15:59:22,818 [main] : WinpayProceed - ID PRODUK : ALFAMART
INFO  2018-09-24 15:59:22,818 [main] : WinpayProceed - URL : https://api-devel.winpay.id/apiv2/ALFAMART
INFO  2018-09-24 15:59:22,818 [main] : WinpayProceed - Content-Type : application/x-www-form-urlencoded
INFO  2018-09-24 15:59:22,818 [main] : WinpayProceed - Message : cHM1dGxjek8bd97daaec94892fbb71e5d045c29769c0V1lWVkFlVzVFOEhsekRYZU1meTE0M1JMNitySWNHY0M0ZGFEajZ6cWYyWnVaL1YwMjFVbTRKUkhUb3BmZFFLZEpheEdCcmlPMExYd0psU2FjVFdRcHFTZ3hldEl3RHYvazNsY3REbDhFWHViU2ljbXUxbFU0SDVQVmhURCtWYTIrRmdRUzhhQThBak9wa0U2Z1VaczNhZit0ay92b0JWbzcrV2FSVzZDYXJhRzZuUGxUN2dSeXJoUGxhUWdNNFR6NnFJVmYwZEliOXBVRnhCY2dRbDBmZG5SZFRiREtVb2l6a3JEaldkNzNDOVd5UDhYNWM3VWIxdUVBY2hUQUtWQmtuNlBTYkJuY3d3UTRmUE9yQTROcDh3RGNiK2pNaWpIalpNclVlZ0NEL2I2STRiYndEeWw4VUhYcW5OS2MyM2lsTTc1VFZvMm5xVnV5YkE1dDQwRWdsUDdyeEUveVJWSWFTVmtNMTYxOTE5cGg3M1E2aTRUS1ZlWWd5SFRnMmNTVENlSFF2MDhSQjBrQjczRkZHeDBkRHZOMWlNczNsRDlCRFRzSGFvYUkzWFV5Y2FTaXlkN3puYVZpeUtxbFlXVDk4WitMOFFmNlJ6bVd0TWs2RWxycTlmRVpSZXJxSGV6OFdkYkxXcWZkWWtSTlU1L05mYkhNQjBudnoxWkh1V0V2SVd6MVFobUs1b2M2WW5HN00xWXI0dnpoT2FscVpmaFBYMXpvZmxTUDExc2pvNS80NWxHWFc2NW9ncFlHVnJYcTdHdEpPN2hTNzZYc1ZZY0xFbk04NVBDT3RkdU54QWh0TT0=
INFO  2018-09-24 15:59:23,546 [main] : WinpayProceed - {"rc":"13","rd":"Transaksi Gagal, Data Pembayaran anda tidak valid !!","request_time":"2018-09-24 08:59:23.094519","data":{"authKey":"e1lzeV6PwTzWByLVZ0QVUk25b1%2FKUIN%2BGYx9EEV9rPWle%2BaoSFjhSaUjwiTFjSqcB4HKUFWbeqfyFVq0xs5i%2Fg%3D%3D","reff_id":"","payment_code":null,"order_id":"","request_key":"","url_listener":"","payment_method":"Alfamart","payment_method_code":"ALFAMART","spi_status_url":"https:\/\/sandbox-payment.winpay.id\/guidance\/index\/alfamart?payid=a4cf298ff578bf8d409c35053c5acd5a"},"response_time":"2018-09-24 08:59:23.436487"}
INFO  2018-09-24 16:00:19,763 [main] : APIWinpay - START
INFO  2018-09-24 16:00:19,768 [main] : APIWinpay - id.winpay.api.util.Config@b1a58a3
INFO  2018-09-24 16:00:22,051 [main] : WinpayProceed - Response Get Token : {"rc":"00","rd":"Success","request_time":"2018-09-24 09:00:21.905484","data":{"token":"b1acceeacc3b2374f60fb64271cf4e40"},"response_time":"2018-09-24 09:00:22.021023"}
INFO  2018-09-24 16:00:22,082 [main] : WinpayProceed - TOKEN : b1acceeacc3b2374f60fb64271cf4e40
INFO  2018-09-24 16:00:22,087 [main] : WinpayProceed - ID PRODUK : ALFAMART
INFO  2018-09-24 16:00:22,088 [main] : WinpayProceed - URL : https://api-devel.winpay.id/apiv2/ALFAMART
INFO  2018-09-24 16:00:22,088 [main] : WinpayProceed - Content-Type : application/x-www-form-urlencoded
INFO  2018-09-24 16:00:22,088 [main] : WinpayProceed - Message : d2FORVdXUWb1acceeacc3b2374f60fb64271cf4e40FVbVVPdk9JQTFwaVJOb0hqMXRTd1ZYc2tBTHhzMHRXOWk4T0tYOWdKQlVEZjBTdUExN0FiS0lHOHFKM281YUV0OHNhMW5tYktiY1RGZ3M4NEpSalZqbGR3MGVSVnJWSUVhWG0vcFp0dG9paWNUTVVkS1BWQklUY2VtK29uWWFYU3d5RDJXUmdmejhkVGZrK2xoc3k5bG5DNWhleDlGV3VOUkhyQzg3QUU0Y2pEZU1kTUNMK0g5MTgxSWFtdnk2SmswL2t2UHdYMkM3Wmw5SXRvdWxqV3plS25PSXpZR2NUMS9CTW1oMXJnVTY0eFEwdnRpYkorbUFtbTV5Tmp4bm9WRVIzeVYxcy9XbS9xbVJWNG9jRHFMa2pXalhVWGtmQlJIWk5RZmhqNDRXWml5ekVnMGJmT1BsbEsyY0hBeXRmSjdWT3E2U2JSUUNZYmUzSUhoVUtWNFFHdE5aTjJDakJZRjhycFpWK045TlltTE84UGN3QWRnU0ROS1A3Tmh0YUVESUNxb3hUS3FKWjl2YnErWFl4TkNRZ0ZNSVFZQ3hsTHBnemp6SUlOZ3pkcUh0aE01MjQ0MzBGMFNLWFZkTlZpOUdOaWpFazRmU0hjZVgwMjZUdzNEV2txQzdMVHJpVzJRMzI3SnFqdlBCNHZWODFwaFZsNG9rbFMwL0NvcEdyaFBQS1p6MEdoUWMxalpMZ3Zwd0hwd2VaRGxoWC92YzA5VVhlWFpRQU54ZTZGTU9Ib2FCeGYwUGhKNWpIZXBQMWZHSmkwR3VBWGYzbGlUeHJsL0xmRXF3WTY5c0Z5QlNrdTE4MD0=
INFO  2018-09-24 16:00:22,570 [main] : WinpayProceed - {"rc":"13","rd":"Transaksi Gagal, Data Pembayaran anda tidak valid !!","request_time":"2018-09-24 09:00:22.189346","data":{"authKey":"JNS9oG%2Fe4OxU7uvzFQaGSiOFRxdnjTFVbvxFkiJ%2BJaA%2BbOcC6FFkzHhRaHTjN0j0KZ1cMhEY%2FShIeMJkx6Q7Hw%3D%3D","reff_id":"","payment_code":null,"order_id":"","request_key":"","url_listener":"","payment_method":"Alfamart","payment_method_code":"ALFAMART","spi_status_url":"https:\/\/sandbox-payment.winpay.id\/guidance\/index\/alfamart?payid=fbaee99966cfbd75aee6a1633bdbf098"},"response_time":"2018-09-24 09:00:22.398358"}
INFO  2018-09-24 16:00:32,475 [main] : APIWinpay - START
INFO  2018-09-24 16:00:32,482 [main] : APIWinpay - id.winpay.api.util.Config@63c12fb0
INFO  2018-09-24 16:00:35,373 [main] : WinpayProceed - Response Get Token : {"rc":"00","rd":"Success","request_time":"2018-09-24 09:00:35.220254","data":{"token":"5c32e803125c2ac38e7de333119e48d8"},"response_time":"2018-09-24 09:00:35.352369"}
INFO  2018-09-24 16:00:35,438 [main] : WinpayProceed - TOKEN : 5c32e803125c2ac38e7de333119e48d8
INFO  2018-09-24 16:00:35,447 [main] : WinpayProceed - ID PRODUK : ALFAMART
INFO  2018-09-24 16:00:35,447 [main] : WinpayProceed - URL : https://api-devel.winpay.id/apiv2/ALFAMART
INFO  2018-09-24 16:00:35,457 [main] : WinpayProceed - Content-Type : application/x-www-form-urlencoded
INFO  2018-09-24 16:00:35,457 [main] : WinpayProceed - Message : SlNzdFFqQU5c32e803125c2ac38e7de333119e48d8xzOFhtRnY2SnpxYk1jMTZhN3grdG1qbmdzek5aYU15V3RCT1QrY3FJTGZzWGxONUVJU3ByZldWWUg3REJTUG9aa1dVbjlEV1lLdHM2RDFLcTdhRk1xRkt5NHB6cnpVMFY5cnRGSzJvSzZJczlGbW5kQVZHRzdHY1kwaFBKM2xRNExyWk5kT01wSS92aWZ1NFRYVkI4dDBLTGpNTnFIODloYmpHV1Q5ZlBtaUpsNWJ5K0VpSnhYOWp3UDlVK0ExeitTMzNUakVvWkpzOXRwSW91amhaYm1NdDZadWdsbFoyZ3J2MnlJYytwY09uUnVVNmRDRDlaN2NkaWJNaCtkWUlPaW5FUGFkaXFaL0xuWkQ1L1lxK2o3NXpLNisyb2tvUStFUzQyTnpEZ2psczQ1TllBUW1FTHpVWFpQczZqU09rWlZEdDFPQ0dMNlJVeFlFYnZMKzBMTGJ5dFA4ZlpaLzM5Zk03TUxLNHVWTkhRUkFiTmxieEFFTlZlNE9WREEyQXFBQ1hzc0J1NzV6MytkTDRWNWdjRjdLak53VnF3dmFQMGErTFhpUXNLekJoVjU1azRGUkVHUlRGbG52Y1lIUE1nYjVET2NtWXZ1dUVhT0dSQ2NReXZuNFNBZVJod2xjWDBJcVlOYm1BUC9ja1l1M3dWZHg5cUgyTUt3WlN3OVJyaXlKaUdneFNrRENpdHk4RVlOVWdocnZzNm43MXh0alg3cFRjOVZ6aUVZaDlYMDhqYmszNVhyZDNTS0Z5NTJKblA1MUIrZGhoY0F4b2FEV08xTnlpWUtWRE0ya0J4WW4wMStCND0=
INFO  2018-09-24 16:01:34,138 [main] : APIWinpay - START
INFO  2018-09-24 16:01:34,143 [main] : APIWinpay - id.winpay.api.util.Config@63c12fb0
INFO  2018-09-24 16:01:35,675 [main] : WinpayProceed - Response Get Token : {"rc":"00","rd":"Success","request_time":"2018-09-24 09:01:35.593144","data":{"token":"edf74d9ae2cc27e17fb002ddbe156df4"},"response_time":"2018-09-24 09:01:35.660965"}
INFO  2018-09-24 16:01:35,706 [main] : WinpayProceed - TOKEN : edf74d9ae2cc27e17fb002ddbe156df4
INFO  2018-09-24 16:01:35,711 [main] : WinpayProceed - ID PRODUK : ALFAMART
INFO  2018-09-24 16:01:35,712 [main] : WinpayProceed - URL : https://api-devel.winpay.id/apiv2/ALFAMART
INFO  2018-09-24 16:01:35,712 [main] : WinpayProceed - Content-Type : application/x-www-form-urlencoded
INFO  2018-09-24 16:01:35,712 [main] : WinpayProceed - Message : T0FUdmIzR2edf74d9ae2cc27e17fb002ddbe156df4Zaa0dKRGhyb0N1V2dHQ3ZVR3lzREw5dy9peWdDMGtVZjhyRFFjZWpzS3pOOHF3a1QwUlZCdXc4bUJFNXRmTjY5TCs0aThIR0FJREtWNk5seWU1TUlEN2VEU1dlZjdEK0lsc2s4UEpjTEs0K052MndRN1FpeGs5US92emorZTVxK2JocENGc0hyelRMWmJvcW1pZTFTTWlmYXR3eUhrOGZiTzlQYmxSVTAzaTN1c2p1K1E3OE1GU2E5Q1lFTElROUxSbm84ODJUekJpenZma0tlSnEzL1pRRGh4MjV4dGdxNjd4YW9XdDdMZEtHUXgyTE5yemRXdzBlWXVaNlNqSE9hb3JVRzNSRDZiZllnbWd4SGFzZHg2ZjM2dWp1eVpZVjZsNklTOW81UEtWVkdBZ1lURWhWdVo2ZFhvdGRSVE1QRzdJN3gxSmFFZllGV0hWR281MjQ2TDZvaFpieUZFM2FNQWhRWmI5RDlscXVVVDF2NHBaQ2pEem9XRnRDNmZIQkM2QXdMSHNwaDgrQmx1WWFvNHAxaWtHdWNWTnpaaDJGV3IyZzUwSTR0U2QxNEJaUFVLTk9JdlU1MEZLV3VKWjhoMmpZZmxPUlNBMmlFOUNMMU5NYWpqQ2lzTXBlTzFOUDF0SS85OGI2dzNFbExiZHplbkc2enc4blVHMnMxc3RFZklLSzZQbWdTSE9PWFhvNG95K1VGd0hHNVQ3b09xQVhPREh4R0JsK2lOOUpxMExoa3A1eExPbnNaVDhES1diZXpMM2ZnU3BQMWJkZmxOb055MTN0bVR0VWdqT1lSeWFKemJ0ST0=
INFO  2018-09-24 16:02:11,958 [main] : APIWinpay - START
INFO  2018-09-24 16:02:11,965 [main] : APIWinpay - id.winpay.api.util.Config@63c12fb0
INFO  2018-09-24 16:02:28,131 [main] : APIWinpay - START
INFO  2018-09-24 16:02:28,138 [main] : APIWinpay - id.winpay.api.util.Config@63c12fb0
INFO  2018-09-24 16:02:31,676 [main] : WinpayProceed - Response Get Token : {"rc":"00","rd":"Success","request_time":"2018-09-24 09:02:31.321584","data":{"token":"b440759c08a50c1ca80d94abf590f31e"},"response_time":"2018-09-24 09:02:31.419221"}
INFO  2018-09-24 16:02:31,704 [main] : WinpayProceed - TOKEN : b440759c08a50c1ca80d94abf590f31e
INFO  2018-09-24 16:02:31,709 [main] : WinpayProceed - ID PRODUK : ALFAMART
INFO  2018-09-24 16:02:31,709 [main] : WinpayProceed - URL : https://api-devel.winpay.id/apiv2/ALFAMART
INFO  2018-09-24 16:02:31,709 [main] : WinpayProceed - Content-Type : application/x-www-form-urlencoded
INFO  2018-09-24 16:02:31,709 [main] : WinpayProceed - Message : aXVBaHJmdlb440759c08a50c1ca80d94abf590f31elIUnJpRHJOOUZaUXBCeFVNZDQ5Nlh5Y0dYaW1vM2U0c0o0NHoyWDFlQy94TVNWeTV0UE5QR2pKVnNGbHdKanFmRnNUYWZPa3RNUDNWVlhSQTlSS2xscytjTjlkSnVsczFCdklkTDV4MTd4VFVJZkZ3U3RGT3BRMUp0algzMEFPZkhWSjlpUDdLdnZWUDk2bDNYbDVFRkk3Z25MM3NtaEF0a0wwZlU0aFg5eWg5YmFFYVdUVW5hQkllOExUekdQYjFIL1lOYzJSMnBUZ29ld0hUMy9vd1FVTTN6RkdkMlkrWFVFejhVY01iZUl1eUNvelNvekVyNnJzUmQ5V3hDTHRTRnYwdmt2Nis1MjRXbmJhNXYvUGZla01zTUI2aEJQTzVuU3dYUUUzcU0rS3dYL2Z1cGt0UFBEcFVVU3RUZ0NEVmw4S0Vacm9EbzNWRTBSUXNoU2pXVk5KOWpDdEhCM3BCS1B4RTZLMDY2YzA1WENkVG5IR0hYeEsybjllZ0xucGlZT0w2aG1zTndIb0dma1E0bWVDVFhjMmxORVdOdk1ScXhKa0s5eG52QWc4c21LVGM4SlhtVzVSYUlKazY0c2NTa1JuWjZyMHYyTHIvR3BwZWo0NUc2ZTFNVjdPMXVVSlFzZ2JGRmZXdUlndTVPTjR3a1pPTDRFYjE2UjVPUlZyZU43ZmZxdklEVk9QYWcvaUMyWlA3R1p2Rml2cEh4TzJqV25DZVdkeDBRQURMdmsrQXFuZHhId0lXOCt3UHQ4Z241U1pZQks2cGk1dnh5STVtbjZHTHFIaU05b00yQUFsMlBHQT0=
INFO  2018-09-24 16:02:32,062 [main] : WinpayProceed - {"rc":"13","rd":"Transaksi Gagal, Data Pembayaran anda tidak valid !!","request_time":"2018-09-24 09:02:31.709052","data":{"authKey":"bcpfeBAXqG9uR7kQMP4F7hcJTNFEXX05S6soIT9IVdXk6xwfyuFlss%2Fg3HJZAEVGUi4RYHYGQFjiMPn9Hlxttw%3D%3D","reff_id":"","payment_code":null,"order_id":"","request_key":"","url_listener":"","payment_method":"Alfamart","payment_method_code":"ALFAMART","spi_status_url":"https:\/\/sandbox-payment.winpay.id\/guidance\/index\/alfamart?payid=62b69a446c2134caa77500273ca7eab9"},"response_time":"2018-09-24 09:02:31.983157"}
INFO  2018-09-24 16:04:39,420 [main] : APIWinpay - START
INFO  2018-09-24 16:04:39,424 [main] : APIWinpay - https://api.winpay.id/api/
INFO  2018-09-24 16:04:41,793 [main] : WinpayProceed - Response Get Token : {"rc":"00","rd":"Success","request_time":"2018-09-24 09:04:41.721999","data":{"token":"65a2aa0407dff7aecc163435c78b4e87"},"response_time":"2018-09-24 09:04:41.775039"}
INFO  2018-09-24 16:04:41,826 [main] : WinpayProceed - TOKEN : 65a2aa0407dff7aecc163435c78b4e87
INFO  2018-09-24 16:04:41,831 [main] : WinpayProceed - ID PRODUK : ALFAMART
INFO  2018-09-24 16:04:41,832 [main] : WinpayProceed - URL : https://api-devel.winpay.id/apiv2/ALFAMART
INFO  2018-09-24 16:04:41,832 [main] : WinpayProceed - Content-Type : application/x-www-form-urlencoded
INFO  2018-09-24 16:04:41,832 [main] : WinpayProceed - Message : TkREZHBtYm65a2aa0407dff7aecc163435c78b4e87QzRXNvK0JlM1pvOCtDdmFIdUI2RjMvSnMxRHM5akFPYjJPOEp5b2tLM21Fc2NVdmIxRTN2OUVUbHlhSitkbVNrdkxPUnZzUW1mN2VDc1dVSkl5WXZRNU1SblBiTHNZN2lYUENjQlZWdm9XdmNhWXpvenN0YUhDNUdDM0h1cE1lcXhtK3N6a1BMTkdtUUoweVhGMlJOQzU2amdnZmk4cVVDeWJDUDJJVk5rbHJ5SHIrYlhubk1xQlEzREY4aFdMT09EdEZoQlJNRDlHR3VYRWZkTnZRTjduSkpncG1BS0hVK2xsUVAza3RpU014Slp3SjBDa0FIMVozMitlUlV0SXU4ZENSbTB6aGhTWFp1bFhVTVRyUzNkNXZHRVhwSEsvWXdKbXg3aURUZ1BwNG1Ub05rLytXdGlHeWhpdUs5VXQzZXdMdUZFVVE1WWE5czJYUEFVSU5QbXFhbmJYVm5laDh3U1RmNWFWSXNZNnhNSHZKVEhSNVZZTjA0eXBhVWhzaUtveHNqV1BoNGZFNXduZUhSdVVyaW9OQy9qWHVnRkpnQ0hkR1FoN2VLU05ma0hpdzBNQno5WWVRdkh2TXpRb3ppZktDcEQ4WEl3VTJ1MTcxRXg2VkZUbitrY1dRZkNBS3RGd0hGR1BTMGpZVXFqQmsxNW4vVXB0MnZEdEVLSTByRFBBWGl4YkEyRUJ3aE94YTl3U3dkTFRNRlZCL0EzTFpjTWtLb3JqMnZvdUNuNFYzZVNLRWt2Q29qQThRTzVNNGpXUWc1VlMrazlWc09WQ3E4Unc2em5DQXVid0hJZUV3UUIxST0=
INFO  2018-09-24 16:05:15,135 [main] : APIWinpay - START
INFO  2018-09-24 16:05:15,142 [main] : WinpayProceed - https://api.winpay.id/api/
INFO  2018-09-24 16:05:32,613 [main] : APIWinpay - START
INFO  2018-09-24 16:05:37,097 [main] : WinpayProceed - Response Get Token : {"rc":"00","rd":"Success","request_time":"2018-09-24 09:05:36.944264","data":{"token":"6c3ebaacb23ab44b83a1d5f7e6d98e02"},"response_time":"2018-09-24 09:05:37.000236"}
INFO  2018-09-24 16:05:37,129 [main] : WinpayProceed - TOKEN : 6c3ebaacb23ab44b83a1d5f7e6d98e02
INFO  2018-09-24 16:05:37,134 [main] : WinpayProceed - ID PRODUK : ALFAMART
INFO  2018-09-24 16:05:37,134 [main] : WinpayProceed - URL : https://api-devel.winpay.id/apiv2/ALFAMART
INFO  2018-09-24 16:05:37,135 [main] : WinpayProceed - Content-Type : application/x-www-form-urlencoded
INFO  2018-09-24 16:05:37,135 [main] : WinpayProceed - Message : T2VHSGphYX6c3ebaacb23ab44b83a1d5f7e6d98e02hHYk9XN0ZXUmZZN3hBMDZ3eUxycTVsWFNYaFB4ZFpRZksrd05Tcm5IbkdZQnUwaHVYanFOU3FNTzNITHZKYmtEUGdEbXU0VHZ3aVRrMFpMMHRWSHdOa2RzdFFKSXJ5OSt0RVFHdWxLdFBsemR4MnJRUFVlT1hmU1JhL0pjcjhoU3d6ZDlTQTBJRzA1b2t1Z2RiQVdReEFLTEFJQ3pUVUhHUDh3MUZOZ0o3KyttV3gwdnZQRkdYN3FWTEpicytFajVGOFN2M3NXdkpQeUNHTHNpOE5rVE44Z2hRTG5KditxUUh1V1JnOExwaCtCOHEwYkR4b2V1TTBQekZsOENKZEJ2azVoN3l4OTJ5NmxLak04ZlV1YUFCVnRGOWxaWTJhc3k0M3FCN3RPODAyMTFQWUJCVXZQQ2RFcHdhWTVuV0t4QVAzMTlYbkhBQWVxeFFYaWRqNXJsUHNyU3gvREh4OFA0cG5yTEQ0b3BuRjlpdmNpK2tmbE1ITndDQXRKZ2hNM1BQMUxCWWhHWVZnUEc5Z3FZeG1ENmZNNFZZWW9td3BrVS9Oa2x4UmpOMWhNR2ZFNmtqbkdyVDVuaUgwbUxmSWwrQU15Yks3cUVLM29EcnJMMmo4V0dkKytJcWx0SEZlM2NUYmd5OWY1LzNwYldJbVhLSUs5VnZ2TVFLM0dkazB2eWxHcTdmS0tEcnNPbnJhRUhtN3Y0RUZqbTFPR2RWVHdObXl3V3VKbXhJdVpqU2dIbzRNZlhiTllKTHp5ZS9GQWpNTVUxUERURWZWVnhNQ2kzM3daM1BxdW9HUWhubEFwUWdRST0=
INFO  2018-09-24 16:07:22,453 [main] : APIWinpay - START
INFO  2018-09-24 16:07:25,236 [main] : WinpayProceed - Response Get Token : {"rc":"00","rd":"Success","request_time":"2018-09-24 09:07:25.139780","data":{"token":"88ac3934939d370fa6e7c7cf775f0302"},"response_time":"2018-09-24 09:07:25.222896"}
INFO  2018-09-24 16:07:25,268 [main] : WinpayProceed - TOKEN : 88ac3934939d370fa6e7c7cf775f0302
INFO  2018-09-24 16:07:25,272 [main] : WinpayProceed - ID PRODUK : ALFAMART
INFO  2018-09-24 16:07:25,272 [main] : WinpayProceed - URL : https://api-devel.winpay.id/apiv2/ALFAMART
INFO  2018-09-24 16:07:25,273 [main] : WinpayProceed - Content-Type : application/x-www-form-urlencoded
INFO  2018-09-24 16:07:25,273 [main] : WinpayProceed - Message : UUdPUVZqeF88ac3934939d370fa6e7c7cf775f0302JDcHF1R2YrVzhVaTZuSENkRzRWUnhxV1lsbGJCaHFsaStWRzE3R3UrZVVFSGZBRmg1YjljUDNxRWVrWjdHUlFIOU8wbHEzTXNwRnBFNDhzc09OY3NqK0FDTTFyZUpOTzBhbDFHcHpjaVhQUGN2NXV2UGtPcHdtVXRoNlUrV1M2UFZaVTFSQUZwZktwdC9nLzR5NS81bUdDbzJIZXVjcXdmNlVmRnFCQXgrc1ZXYmdZaGN1OE5rb2lVWlVMK1ByT2VNb1Evc3ZuOFVpTm4wZm9WcVVMaGFZMGJUK2hwdVVrVTlMOStTY1F5MGg0ak4yRjFYUE01L0hPUTFBTmhLNWRrYm9RaEptVnV1Vm5NbXZWaGNHMXdpUS9qS2ZXaDkzRXE3dVQwVFVhclRsWERsSkMzSTlBdW03RUtNN3pKSFJIMW5LbjZqTUpwZ3luUHJRcGVGbkx0UjdwZ0ZWdUp0cC9ZYmREOGx6RGJCcTU0d2Z4UGR1WG5SWTliVFBrR2hNUUtHdloxYTQ3djB4ZHN1TmhOWmZwQXpOdG1kc1ZGMGN6dU1EUklSL0VGR2VpL0VWRkhTSWhnQTMzUGtpRzA5bzZqNWNVV1lBaGpHTWNJTzlUL3BhSmdQQWlUTXZhRm1mRTYySzZrTUVKb1MvSkY2aXg3b3gyczcrM1NsNVhROHllakNxTVdESUF3dmZIY0M2QzRTV2o1STE2ZjVSaElLWkJVZUUxRlFSNGxuQWRmQ0UxQXRmamlJUEFuOU81RHNRME04bzdvTzJBREpsMXBBWmExendnRGRZZDl1am1TeEtvcG5sZz0=
INFO  2018-09-24 16:07:25,678 [main] : WinpayProceed - {"rc":"13","rd":"Transaksi Gagal, Data Pembayaran anda tidak valid !!","request_time":"2018-09-24 09:07:25.394840","data":{"authKey":"ODgliWeUyAmt9R8nIa600RONtwvZLTLl3QSzdK3RT%2FXu6pNp34E5CVBGgw4YNJWuwAmr6WAgc10jXIp9cDUZBQ%3D%3D","reff_id":"","payment_code":null,"order_id":"","request_key":"","url_listener":"","payment_method":"Alfamart","payment_method_code":"ALFAMART","spi_status_url":"https:\/\/sandbox-payment.winpay.id\/guidance\/index\/alfamart?payid=23b3ba754361dd3f3e4be1d9a512114e"},"response_time":"2018-09-24 09:07:25.618170"}
INFO  2018-09-24 16:09:32,743 [main] : APIWinpay - START
INFO  2018-09-24 16:09:34,234 [main] : WinpayProceed - Response Get Token : {"rc":"00","rd":"Success","request_time":"2018-09-24 09:09:34.171988","data":{"token":"a9df85c77dbc1d5793b326753b1995e8"},"response_time":"2018-09-24 09:09:34.222562"}
INFO  2018-09-24 16:09:34,284 [main] : WinpayProceed - TOKEN : a9df85c77dbc1d5793b326753b1995e8
INFO  2018-09-24 16:09:34,289 [main] : WinpayProceed - ID PRODUK : ALFAMART
INFO  2018-09-24 16:09:34,290 [main] : WinpayProceed - URL : https://api.winpay.id/apiv2/ALFAMART
INFO  2018-09-24 16:09:34,290 [main] : WinpayProceed - Content-Type : application/x-www-form-urlencoded
